username,role,institution,password
faculty_gdu_1,FACULTY,G.D University,testpassword123
faculty_gdu_2,FACULTY,G.D University,testpassword123
faculty_gdu_3,FACULTY,G.D University,testpassword123
faculty_gdu_4,FACULTY,G.D University,testpassword123
faculty_gdu_5,FACULTY,G.D University,testpassword123
faculty_gdu_6,FACULTY,G.D University,testpassword123
faculty_gdu_7,FACULTY,G.D University,testpassword123
faculty_gdu_8,FACULTY,G.D University,testpassword123
faculty_gdu_9,FACULTY,G.D University,testpassword123
faculty_gdu_10,FACULTY,G.D University,testpassword123
student_gdu_1,STUDENT,G.D University,testpassword123
student_gdu_2,STUDENT,G.D University,testpassword123
student_gdu_3,STUDENT,G.D University,testpassword123
student_gdu_4,STUDENT,G.D University,testpassword123
student_gdu_5,STUDENT,G.D University,testpassword123
student_gdu_6,STUDENT,G.D University,testpassword123
student_gdu_7,STUDENT,G.D University,testpassword123
student_gdu_8,STUDENT,G.D University,testpassword123
student_gdu_9,STUDENT,G.D University,testpassword123
student_gdu_10,STUDENT,G.D University,testpassword123
student_gdu_11,STUDENT,G.D University,testpassword123
student_gdu_12,STUDENT,G.D University,testpassword123
student_gdu_13,STUDENT,G.D University,testpassword123
student_gdu_14,STUDENT,G.D University,testpassword123
student_gdu_15,STUDENT,G.D University,testpassword123
student_gdu_16,STUDENT,G.D University,testpassword123
student_gdu_17,STUDENT,G.D University,testpassword123
student_gdu_18,STUDENT,G.D University,testpassword123
student_gdu_19,STUDENT,G.D University,testpassword123
student_gdu_20,STUDENT,G.D University,testpassword123
alumni_gdu_1,ALUMNI,G.D University,testpassword123
alumni_gdu_2,ALUMNI,G.D University,testpassword123
alumni_gdu_3,ALUMNI,G.D University,testpassword123
alumni_gdu_4,ALUMNI,G.D University,testpassword123
alumni_gdu_5,ALUMNI,G.D University,testpassword123
alumni_gdu_6,ALUMNI,G.D University,testpassword123
alumni_gdu_7,ALUMNI,G.D University,testpassword123
alumni_gdu_8,ALUMNI,G.D University,testpassword123
alumni_gdu_9,ALUMNI,G.D University,testpassword123
alumni_gdu_10,ALUMNI,G.D University,testpassword123
alumni_gdu_11,ALUMNI,G.D University,testpassword123
alumni_gdu_12,ALUMNI,G.D University,testpassword123
alumni_gdu_13,ALUMNI,G.D University,testpassword123
alumni_gdu_14,ALUMNI,G.D University,testpassword123
alumni_gdu_15,ALUMNI,G.D University,testpassword123
alumni_gdu_16,ALUMNI,G.D University,testpassword123
alumni_gdu_17,ALUMNI,G.D University,testpassword123
alumni_gdu_18,ALUMNI,G.D University,testpassword123
alumni_gdu_19,ALUMNI,G.D University,testpassword123
alumni_gdu_20,ALUMNI,G.D University,testpassword123
faculty_mr_1,FACULTY,Manav Rachna University,testpassword123
faculty_mr_2,FACULTY,Manav Rachna University,testpassword123
faculty_mr_3,FACULTY,Manav Rachna University,testpassword123
faculty_mr_4,FACULTY,Manav Rachna University,testpassword123
faculty_mr_5,FACULTY,Manav Rachna University,testpassword123
faculty_mr_6,FACULTY,Manav Rachna University,testpassword123
faculty_mr_7,FACULTY,Manav Rachna University,testpassword123
faculty_mr_8,FACULTY,Manav Rachna University,testpassword123
faculty_mr_9,FACULTY,Manav Rachna University,testpassword123
faculty_mr_10,FACULTY,Manav Rachna University,testpassword123
student_mr_1,STUDENT,Manav Rachna University,testpassword123
student_mr_2,STUDENT,Manav Rachna University,testpassword123
student_mr_3,STUDENT,Manav Rachna University,testpassword123
student_mr_4,STUDENT,Manav Rachna University,testpassword123
student_mr_5,STUDENT,Manav Rachna University,testpassword123
student_mr_6,STUDENT,Manav Rachna University,testpassword123
student_mr_7,STUDENT,Manav Rachna University,testpassword123
student_mr_8,STUDENT,Manav Rachna University,testpassword123
student_mr_9,STUDENT,Manav Rachna University,testpassword123
student_mr_10,STUDENT,Manav Rachna University,testpassword123
student_mr_11,STUDENT,Manav Rachna University,testpassword123
student_mr_12,STUDENT,Manav Rachna University,testpassword123
student_mr_13,STUDENT,Manav Rachna University,testpassword123
