username,first_name,last_name,role,institution,password
alumni_gdu_1,Paula,Williamson,ALUMNI,G.D University,testpassword123
alumni_gdu_10,Andrew,Peterson,ALUMNI,G.D University,testpassword123
alumni_gdu_11,April,Stephens,ALUMNI,G.D University,testpassword123
alumni_gdu_12,Cynthia,Mendez,ALUMNI,G.D University,testpassword123
alumni_gdu_13,Rodney,King,ALUMNI,G.D University,testpassword123
alumni_gdu_14,Rachel,Allen,ALUMNI,G.D University,testpassword123
alumni_gdu_15,Jessica,Porter,ALUMNI,G.D University,testpassword123
alumni_gdu_16,Mary,Stevenson,ALUMNI,G.D University,testpassword123
alumni_gdu_17,David,Clay,ALUMNI,G.D University,testpassword123
alumni_gdu_18,Nancy,Dixon,ALUMNI,G.D University,testpassword123
alumni_gdu_19,Christopher,Sawyer,ALUMNI,G.D University,testpassword123
alumni_gdu_2,Stephanie,Robinson,ALUMNI,G.D University,testpassword123
alumni_gdu_20,Jessica,Brown,ALUMNI,G.D University,testpassword123
alumni_gdu_3,Maria,Terry,ALUMNI,G.D University,testpassword123
alumni_gdu_4,Bruce,Sanders,ALUMNI,G.D University,testpassword123
alumni_gdu_5,Charles,Lopez,ALUMNI,G.D University,testpassword123
alumni_gdu_6,Carly,Wright,ALUMNI,G.D University,testpassword123
alumni_gdu_7,Matthew,Young,ALUMNI,G.D University,testpassword123
alumni_gdu_8,Mark,Lopez,ALUMNI,G.D University,testpassword123
alumni_gdu_9,Kevin,Scott,ALUMNI,G.D University,testpassword123
alumni_mr_1,Robert,Craig,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_10,Meghan,Mcfarland,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_11,Tammy,Lawrence,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_12,Stephanie,Luna,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_13,Jennifer,Juarez,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_14,Kevin,Meyer,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_15,Chris,Patterson,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_16,Roberta,Brown,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_17,Stephanie,Hill,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_18,George,Lewis,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_19,Miranda,Calderon,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_2,Adrian,Cooper,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_20,Rhonda,Christian,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_3,James,Savage,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_4,Nancy,James,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_5,Timothy,Jones,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_6,Christopher,Jordan,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_7,Annette,Foster,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_8,Shawn,Hinton,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_9,John,Ellis,ALUMNI,Manav Rachna University,testpassword123
alumni_test12,,,ALUMNI,G.D University,testpassword123
amit_sharma61,,,FACULTY,G.D University,testpassword123
faculty_gdu_1,Kelly,Lewis,FACULTY,G.D University,testpassword123
faculty_gdu_10,Philip,Mooney,FACULTY,G.D University,testpassword123
faculty_gdu_2,Rachel,Hill,FACULTY,G.D University,testpassword123
faculty_gdu_3,Jessica,Howard,FACULTY,G.D University,testpassword123
faculty_gdu_4,Raymond,Spencer,FACULTY,G.D University,testpassword123
faculty_gdu_5,Timothy,Hamilton,FACULTY,G.D University,testpassword123
faculty_gdu_6,Edward,Garcia,FACULTY,G.D University,testpassword123
faculty_gdu_7,James,Rogers,FACULTY,G.D University,testpassword123
faculty_gdu_8,Dustin,Cannon,FACULTY,G.D University,testpassword123
faculty_gdu_9,Melissa,Morris,FACULTY,G.D University,testpassword123
faculty_mr_1,Dylan,Hernandez,FACULTY,Manav Rachna University,testpassword123
faculty_mr_10,John,Holland,FACULTY,Manav Rachna University,testpassword123
faculty_mr_2,Phillip,Stark,FACULTY,Manav Rachna University,testpassword123
faculty_mr_3,Courtney,Nichols,FACULTY,Manav Rachna University,testpassword123
faculty_mr_4,Brittany,Pacheco,FACULTY,Manav Rachna University,testpassword123
faculty_mr_5,Frederick,Davenport,FACULTY,Manav Rachna University,testpassword123
faculty_mr_6,Michael,Walker,FACULTY,Manav Rachna University,testpassword123
faculty_mr_7,Sheryl,Waters,FACULTY,Manav Rachna University,testpassword123
faculty_mr_8,Brian,Chavez,FACULTY,Manav Rachna University,testpassword123
faculty_mr_9,Jonathan,Evans,FACULTY,Manav Rachna University,testpassword123
Raj_GDU,,,STUDENT,G.D University,testpassword123
student_gdu_1,Denise,Morgan,STUDENT,G.D University,testpassword123
student_gdu_10,Anthony,Petersen,STUDENT,G.D University,testpassword123
student_gdu_11,Christopher,Phelps,STUDENT,G.D University,testpassword123
student_gdu_12,Donald,Williams,STUDENT,G.D University,testpassword123
student_gdu_13,Melissa,Obrien,STUDENT,G.D University,testpassword123
student_gdu_14,Amanda,Alexander,STUDENT,G.D University,testpassword123
student_gdu_15,Adrian,Farrell,STUDENT,G.D University,testpassword123
student_gdu_16,Scott,Howard,STUDENT,G.D University,testpassword123
student_gdu_17,Derek,Walker,STUDENT,G.D University,testpassword123
student_gdu_18,Richard,Dominguez,STUDENT,G.D University,testpassword123
